lat,lon
31.2459796,121.4576061
31.2453307,121.4576321
31.2450088,121.457692
31.2444052,121.457863
31.2444052,121.457863
31.2424289,121.4586732
31.2424289,121.4586732
31.2424289,121.4586732
31.2424289,121.4586732
31.2424289,121.4586732
31.2424289,121.4586732
31.2424289,121.4586732
31.2401749,121.4596481
31.2388112,121.4603849
31.2377579,121.4610176
31.2368527,121.4615065
31.2363787,121.4616759
31.236107,121.4617378
31.2351912,121.4619259
31.2342134,121.4621
31.2334955,121.4622616
31.2334955,121.4622616
31.2334955,121.4622616
31.2334955,121.4622616
31.2334955,121.4622616
31.2334955,121.4622616
31.2329733,121.4623665
31.2320357,121.4623988
31.2299303,121.4625632
31.2292982,121.4626575
31.2289335,121.4627355
31.2284312,121.4629018
31.2281846,121.4630105
31.2278807,121.4631768
31.2275676,121.4633954
31.2273383,121.4635831
31.2273383,121.4635831
31.2273383,121.4635831
31.2273383,121.4635831
31.2269965,121.4639184
31.2250309,121.4659555
31.2250309,121.4659555
31.2250309,121.4659555
31.2250309,121.4659555
31.2247557,121.4662305
31.2244816,121.4664504
31.2243118,121.4665563
31.2239149,121.4667738
31.2236381,121.4668957
31.223357,121.4670025
31.2230718,121.4670726
31.2230718,121.4670726
31.2230718,121.4670726
31.2230718,121.4670726
31.2227992,121.4671475
31.2224826,121.4672026
31.2221814,121.4672329
31.2218358,121.4672349
31.2210629,121.467122
31.2189822,121.4665818
31.2189822,121.4665818
31.2189822,121.4665818
31.2189822,121.4665818
31.2189822,121.4665818
31.2189822,121.4665818
31.2189822,121.4665818
31.2186261,121.4664368
31.2171565,121.4660537
31.2162275,121.4658515
31.215677,121.4658515
31.2152145,121.4659116
31.2147227,121.4660832
31.2115964,121.4680203
31.210021,121.4687361
31.2026054,121.471474
31.2026054,121.471474
31.2026054,121.471474
31.2000826,121.4723966
31.1995586,121.4726136
31.1987344,121.4730062
31.1979609,121.4734326
31.1979609,121.4734326
31.1973868,121.4737833
31.1969222,121.4740457
31.1961365,121.4743942
31.1951713,121.4747647
31.194577,121.4749881
31.1942765,121.4750936
31.1942765,121.4750936
31.1942765,121.4750936
31.1942765,121.4750936
31.1911091,121.4763198
31.1879437,121.4776172
31.1836137,121.4794378
31.1836137,121.4794378
31.1836137,121.4794378
31.1819982,121.4800479
31.1815282,121.4801337
31.1810656,121.4801165
31.1806764,121.4800736
31.1801977,121.4799003
31.1799889,121.4796818
31.1797569,121.4795346
31.1793871,121.4792038
31.1791308,121.4788828
31.1786287,121.478048
31.1786287,121.478048
31.1786287,121.478048
31.1783991,121.4773524
31.1782394,121.4769773
31.1779228,121.4764047
31.1773918,121.475384
31.1771612,121.4749758
31.1769965,121.474792
31.1769965,121.474792
31.1768689,121.4745673
31.1767282,121.4743897
31.1761902,121.4734039
31.1761902,121.4734039
31.1761902,121.4734039
31.1758247,121.4726597
31.1755861,121.4721125
31.1748987,121.4699688
31.1748987,121.4699688
31.1742289,121.4677424
31.1741231,121.4675057
31.1740524,121.4673698
31.1728377,121.4682661
31.1728377,121.4682661
31.1728377,121.4682661
31.1726499,121.4684028
31.1719665,121.4687785
31.1713695,121.4690602
31.1713695,121.4690602
31.1713695,121.4690602
31.1706831,121.4693342
31.170065,121.4695503
31.170065,121.4695503
31.169982,121.4695764
31.1692914,121.46975
31.1685996,121.4698795
31.1685996,121.4698795
31.1667016,121.4702002
31.1666186,121.4702134
31.1655156,121.4703954
31.1655156,121.4703954
31.1655156,121.4703954
31.161852,121.4710115
31.161852,121.4710115
31.1601476,121.4712996
31.1601476,121.4712996
31.1600759,121.4713134
31.1598292,121.471361
31.1593739,121.4714068
31.1584927,121.4713733
31.1584927,121.4713733
31.1580739,121.4713339
31.157041,121.4711289
31.1560477,121.470915
31.1559232,121.4708873
31.1559232,121.4708873
31.1559232,121.4708873
